block_number, user_tx, fees
19375342,0xa9a1533c37d53d461be2821ca53bf04a4269038095757bad2da65b348afd9f16,47408284226876256   
19375361,0x202fc38a52652a0c49927c1771de43939b47e083ba1c256ef0d004e32df2451b,70226021788882271   
19375372,0xee51506e07ace44eaad85041210d025ac46241526d2d22ef07af4e01a6847ba8,25816233944667279   
19375384,0x4589dc3b7be6df22ed3657b3310bfff117329a0a7e68ded05daecac2899e5921,252120514831501060  
19375388,0x153a70478d17e082740c30f9d5d20fbca5d298c34cc4581e2eecb6163213eebc,272612861208189719  
19375388,0xe2d9647da2db921969932a9050387703e6b317f619066afc70b425f1997acba8,272612861208189719  
19375389,0xc4a9c7ec9a8bb74204b693a9bea914dfe2ec53e14bf99f79cb16ce5eeed17519,89324972680927999   
19375391,0xc9c10b7c12ed0189f687c8e91d9e6af33ab89a30ae5c76ea33b9795b4469c660,261987998389198158  
19375407,0x6326d184ae6ea8ba28dd3ade1030ef7bd0efd6b9d211ffdeeaf872d073a7886c,5063971927948147    
19375418,0x98b048c9f10d1d12fe0adaa9e80aca7e11fd1424bb56c0f9b5060af2fba2ee5d,640881348890033     
19375430,0x14484a0e49e92c54543847bc285d75aedd8e5b5b4e389615525918264f088963,89940396566535976   
19375440,0xa9cac434cc4d62747c4587954506c3b9c0bb7645418755db9bc7840dc52b1288,519912037210763716  
19375448,0xe67bee5dc9d2d5978fb644f0e6a90d99cf09543b10e4ba3ce89082fac83d6750,337494250075481632  
19375450,0x4b8f64a2979095cf2c463b67a409afbec1e59affb6fe5ca067c8bb1f68a96ca8,548995830632819200  
19375454,0xe492c642730f7b6eae1b7c1559ee24449524361b3f8745fba2c3495a26ca2fc0,2271502984478077    
19375455,0x75b19a2aa7d95d6a9682132386e92c7e20a7765b217c5c2b3c0d57f172edb5b4,59039969480880395   
19375458,0x02a5aed1bec0904ffe147e0e13cb029d4e4790e42dff0bcf5084b56313fd0654,190885306145129339  
19375460,0xed160469f33d7b1989a0c0de9303c0200b330a6633069ab61fbdb532940d8179,408721890447791672  
19375462,0xfbfcc2d4c15d11e6e73530fa49e06f0b4810bc2cc1562b288f0c05f4c0ecb924,53681138743510596   
19375483,0x26711230e601f9f5036fb78a56f7ce5acb09517b68178d17bcb010c56b341c46,6958215717624276 
19375496,0x4010103b5b88489992176b61fe61d68e62bb259b0aefa3aa60d93f82b7f7206a,20995717025176676
