,tx_hash,index,type,raw_amount,dollar_value,token_contract_address,token_name,token_dollar_value,from,to,sender,timestamp
0,0xa9a1533c37d53d461be2821ca53bf04a4269038095757bad2da65b348afd9f16,0,Mint,300000000000000000,965.11201171875000004,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3217.0400390625,None,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xf299dc09ec306e9ed207cdc1296ac6d0d9c5dc7c,1709718599
1,0xa9a1533c37d53d461be2821ca53bf04a4269038095757bad2da65b348afd9f16,0,Transfer,300000000000000000,965.11201171875000004,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3217.0400390625,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xa2fdb9b10af2d62d4baba5f165b781794428f385,0xf299dc09ec306e9ed207cdc1296ac6d0d9c5dc7c,1709718599
2,0xa9a1533c37d53d461be2821ca53bf04a4269038095757bad2da65b348afd9f16,0,Transfer,109634497747398718977119,718.582847425401343844393,0x0026dfbd8dbb6f8d0c88303cc1b1596409fda542,SANSHU!,0.0065543497912585735,0xa2fdb9b10af2d62d4baba5f165b781794428f385,0xf299dc09ec306e9ed207cdc1296ac6d0d9c5dc7c,0xf299dc09ec306e9ed207cdc1296ac6d0d9c5dc7c,1709718599
3,0xa9a1533c37d53d461be2821ca53bf04a4269038095757bad2da65b348afd9f16,0,Transfer,300000000000000000,965.92500000000000004,None,Ethereum,3219.75,0xf299dc09ec306e9ed207cdc1296ac6d0d9c5dc7c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xf299dc09ec306e9ed207cdc1296ac6d0d9c5dc7c,1709718599
4,0xa9a1533c37d53d461be2821ca53bf04a4269038095757bad2da65b348afd9f16,0,Transfer,300000000000000000,965.92500000000000004,None,Ethereum,3219.75,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xf299dc09ec306e9ed207cdc1296ac6d0d9c5dc7c,1709718599
5,0xa9a1533c37d53d461be2821ca53bf04a4269038095757bad2da65b348afd9f16,1,Mint,300000000000000000,965.11201171875000004,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3217.0400390625,None,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xf299dc09ec306e9ed207cdc1296ac6d0d9c5dc7c,1709718599
6,0xa9a1533c37d53d461be2821ca53bf04a4269038095757bad2da65b348afd9f16,1,Transfer,300000000000000000,965.11201171875000004,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3217.0400390625,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xa2fdb9b10af2d62d4baba5f165b781794428f385,0xf299dc09ec306e9ed207cdc1296ac6d0d9c5dc7c,1709718599
7,0xa9a1533c37d53d461be2821ca53bf04a4269038095757bad2da65b348afd9f16,1,Transfer,73138429431449475212681,479.37484967700077871796,0x0026dfbd8dbb6f8d0c88303cc1b1596409fda542,SANSHU!,0.0065543497912585735,0xa2fdb9b10af2d62d4baba5f165b781794428f385,0xf299dc09ec306e9ed207cdc1296ac6d0d9c5dc7c,0xf299dc09ec306e9ed207cdc1296ac6d0d9c5dc7c,1709718599
8,0xa9a1533c37d53d461be2821ca53bf04a4269038095757bad2da65b348afd9f16,1,Transfer,300000000000000000,965.92500000000000004,None,Ethereum,3219.75,0xf299dc09ec306e9ed207cdc1296ac6d0d9c5dc7c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xf299dc09ec306e9ed207cdc1296ac6d0d9c5dc7c,1709718599
9,0xa9a1533c37d53d461be2821ca53bf04a4269038095757bad2da65b348afd9f16,1,Transfer,300000000000000000,965.92500000000000004,None,Ethereum,3219.75,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xf299dc09ec306e9ed207cdc1296ac6d0d9c5dc7c,1709718599
10,0x202fc38a52652a0c49927c1771de43939b47e083ba1c256ef0d004e32df2451b,0,Transfer,735929095769674517939959,,0x7f3b4b68ca0238f387d8b1a8fbc002d0e6d4cd5b,None,None,0x77314da6f40f71c3a850c89e1a05c438a0acd405,0x4b882b9c26b3b3afd13307b4ab79ea4ec35e878e,0x77314da6f40f71c3a850c89e1a05c438a0acd405,1709718839
11,0x202fc38a52652a0c49927c1771de43939b47e083ba1c256ef0d004e32df2451b,0,Transfer,912144220786413565,2934.4044796693575197,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3217.0400390625,0x4b882b9c26b3b3afd13307b4ab79ea4ec35e878e,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x77314da6f40f71c3a850c89e1a05c438a0acd405,1709718839
12,0x202fc38a52652a0c49927c1771de43939b47e083ba1c256ef0d004e32df2451b,0,Burn,912144220786413565,2934.4044796693575197,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3217.0400390625,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,None,0x77314da6f40f71c3a850c89e1a05c438a0acd405,1709718839
13,0x202fc38a52652a0c49927c1771de43939b47e083ba1c256ef0d004e32df2451b,0,Transfer,912144220786413565,2936.876354877055076,None,Ethereum,3219.75,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x77314da6f40f71c3a850c89e1a05c438a0acd405,1709718839
14,0x202fc38a52652a0c49927c1771de43939b47e083ba1c256ef0d004e32df2451b,0,Transfer,912144220786413565,2936.876354877055076,None,Ethereum,3219.75,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x77314da6f40f71c3a850c89e1a05c438a0acd405,0x77314da6f40f71c3a850c89e1a05c438a0acd405,1709718839
15,0x202fc38a52652a0c49927c1771de43939b47e083ba1c256ef0d004e32df2451b,1,Transfer,735929095769674517939959,,0x7f3b4b68ca0238f387d8b1a8fbc002d0e6d4cd5b,None,None,0x77314da6f40f71c3a850c89e1a05c438a0acd405,0x4b882b9c26b3b3afd13307b4ab79ea4ec35e878e,0x77314da6f40f71c3a850c89e1a05c438a0acd405,1709718839
16,0x202fc38a52652a0c49927c1771de43939b47e083ba1c256ef0d004e32df2451b,1,Transfer,829222261774924168,2667.641217411896646,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3217.0400390625,0x4b882b9c26b3b3afd13307b4ab79ea4ec35e878e,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x77314da6f40f71c3a850c89e1a05c438a0acd405,1709718839
17,0x202fc38a52652a0c49927c1771de43939b47e083ba1c256ef0d004e32df2451b,1,Burn,829222261774924168,2667.641217411896646,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3217.0400390625,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,None,0x77314da6f40f71c3a850c89e1a05c438a0acd405,1709718839
18,0x202fc38a52652a0c49927c1771de43939b47e083ba1c256ef0d004e32df2451b,1,Transfer,829222261774924168,2669.88837734981209,None,Ethereum,3219.75,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x77314da6f40f71c3a850c89e1a05c438a0acd405,1709718839
19,0x202fc38a52652a0c49927c1771de43939b47e083ba1c256ef0d004e32df2451b,1,Transfer,829222261774924168,2669.88837734981209,None,Ethereum,3219.75,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x77314da6f40f71c3a850c89e1a05c438a0acd405,0x77314da6f40f71c3a850c89e1a05c438a0acd405,1709718839
20,0xee51506e07ace44eaad85041210d025ac46241526d2d22ef07af4e01a6847ba8,0,Transfer,0,0,0x8ee325ae3e54e83956ef2d5952d3c8bc1fa6ec27,Fable Of The Dragon,0.09961199760437012,0x1f7ea43d283d0ef906ee92ddead883a8f078cbc9,0x8ee325ae3e54e83956ef2d5952d3c8bc1fa6ec27,0x1f7ea43d283d0ef906ee92ddead883a8f078cbc9,1709718971
21,0xee51506e07ace44eaad85041210d025ac46241526d2d22ef07af4e01a6847ba8,0,Transfer,10000000000000,996.1199760437011719,0x8ee325ae3e54e83956ef2d5952d3c8bc1fa6ec27,Fable Of The Dragon,0.09961199760437012,0x1f7ea43d283d0ef906ee92ddead883a8f078cbc9,0x3af73bb96b335fc0fd2c4cf39ce95f3ff8c8de66,0x1f7ea43d283d0ef906ee92ddead883a8f078cbc9,1709718971
