,tx_hash,sender,delta_eth,delta_dollar,token_name_A,token_contract_address_A,delta_token_A,token_name_B,token_contract_address_B,delta_token_B
0,0x02a5aed1bec0904ffe147e0e13cb029d4e4790e42dff0bcf5084b56313fd0654,0xb15300f1eb79782eae04f10529adc0e1b85aa9aa,-0.29133651113006254,-937.2412211461888,0xGasless,0x5fc111f3fa4c6b32eaf65659cfebdeed57234069,-2.7774306094940873e+21,Hemule,0xeaa63125dd63f10874f99cdbbb18410e7fc79dd3,
1,0x03dd2c8d113eb60e10d571b99a419e4fb7e4f437e803bfb071bce0465e9eb664,0x725ef823a0c7ea654561e13796a9d81a9aa8398a,-0.1766620277853082,-568.3288167673084,Ethereum,Ethereum,-0.17651333698806068,Monai,0x8c282c35b5e1088bb208991c151182a782637699,-6.152741639046258e+20
2,0x04b1c431a72f7641fe176d132b2938dc24ca2ea2d52252df0cffb22ed4013a99,0xf10c20623790b8a92d1cb32d0e0b8a0384179130,-0.0476589409981477,-153.32072141035846,0x857ffc55b1aa61a7ff847c82072790cae73cd883,0x857ffc55b1aa61a7ff847c82072790cae73cd883,-8.028344162710528e+17,Ethereum,Ethereum,-0.047618827986756256
3,0x054d9a64147c776a19391680e82077d31de60d84ef075f469ff911517556098d,0x941111f2be8ed9b4e0ce7cea556c8e1eee7077c2,-0.25947450480097445,-834.7398710606496,Ethereum,Ethereum,-0.2592561133816755,MetaZero,0x328a268b191ef593b72498a9e8a481c086eb21be,-5.195620151308551e+21
4,0x067ecb28afdb4ebe732845b9321bd2c815bdda53d3ab137a25c8810c4443dfbf,0x9de09e96aa328cf6c0b4a67a62aaf464d084459e,-0.17065756586914602,-549.0122223699886,Ribbon Finance,0x6123b0049f904d730db3c36a31167d9d4121fa6b,-3.9498581419287904e+20,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,-549.0160510670726
5,0x0dd4f1b0148c804994264c891276e69004e1b4bd7bc3a79d24cf496aeafece8c,0x63e150989362ecc8b5debad0931f278264d5f47d,-0.03965581819012928,-127.57435489942891,Ethereum,Ethereum,-0.039622441152086005,TAO INU,0x4e9fcd48af4738e3bf1382009dc1e93ebfce698f,-6.547660324821545e+21
6,0x10b69b51cb0ffe7e4ac414e7df9a91dab9ea9fb0c41b4be44782693aa887d37d,0xcf99f91f0d834f26b8e7267ee99203bef3648edd,-0.08497716432270484,-273.3749400321349,0x857ffc55b1aa61a7ff847c82072790cae73cd883,0x857ffc55b1aa61a7ff847c82072790cae73cd883,-1.507757573950804e+18,Ethereum,Ethereum,-0.08490564175235185
7,0x110ef6a81af6ca9de842f567aad787d4d19cdf263bf05bbb72ecf770182d5c23,0x785d9a6abfe0caa1f962a14d58dab3ba34f77fbb,-0.8649311636130089,-2782.518184375968,Ribbon Finance,0x6123b0049f904d730db3c36a31167d9d4121fa6b,-2.009874521588404e+21,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,-2782.537589079223
8,0x118676cafaf6134b1d33f524d45e4984a6dc9f1e817609523e2e75a3ec327515,0x725ef823a0c7ea654561e13796a9d81a9aa8398a,-0.13185559963428267,-424.1847433980821,Ethereum,Ethereum,-0.13174462097929407,Ribbon Finance,0x6123b0049f904d730db3c36a31167d9d4121fa6b,
9,0x1237263af074ecda6a6329f59aaf62148038ca8b41aca4a9348e0699ab1491a1,0x3011e811ea18ee32c45caa9df8056b41d65dfbc7,-0.3089032974513674,-993.7542760994821,Ethereum,Ethereum,-0.30864330339295976,Ribbon Finance,0x6123b0049f904d730db3c36a31167d9d4121fa6b,-1.014205340708061e+21
10,0x124213ce582eac769d8fecde46154dffd81fef4e081d3d211032c7265c412e7e,0xb1feeafeec3a2e8758723a64e4387ece2175fc04,-0.2001683607739994,-643.9496311634637,Ethereum,Ethereum,-0.19999988544559785,Moby,0x40a7df3df8b56147b781353d379cb960120211d7,-5.0257836779120414e+20
11,0x14484a0e49e92c54543847bc285d75aedd8e5b5b4e389615525918264f088963,0xcd1952d79e2d14c6888a4ea63e41a9c1c2729f88,-0.13768786248822876,-442.9473665175636,Ethereum,Ethereum,-0.1375719750035138,enqAI,0x710287d1d39dcf62094a83ebb3e736e79400068a,
12,0x153a70478d17e082740c30f9d5d20fbca5d298c34cc4581e2eecb6163213eebc,0xdd3d41d3817abe28519f4f5c0890e9c0f0cfe69b,-0.2981988268169585,-959.3175654716197,0xf83a3233e78c7e1c6bdd0a5fea0b1f00c00e7623,0xf83a3233e78c7e1c6bdd0a5fea0b1f00c00e7623,-9506967959917398.0,Ethereum,Ethereum,-0.29794784237025224
13,0x1583906e0ce7e381e963582934a6b2a87c8df66adbd6c5dc6db28daeef5c47fe,0x57b2e0a2b28bd6821f4ac95175487b98c4269203,-1.4032932095790334,-4514.450441760275,Ethereum,Ethereum,-1.4021121024179748,Ribbon Finance,0x6123b0049f904d730db3c36a31167d9d4121fa6b,-3.911206673516224e+21
