,tx_hash,sender,delta_eth,delta_dollar,token_name_A,token_contract_address_A,delta_token_A,token_name_B,token_contract_address_B,delta_token_B
0,0x012778bb6330737bed53ca488e582500498d81e1db22060b8b8b94ed82d6ae99,0x9ea02f652955b90c0dd4f256003e4e339d3a4184,-0.06575189171283913,-204.1136006547081,Ethereum,Ethereum,-0.06577180655463025,KAIJUNO8,0x4fe8d4775b7cb2546b9ee86182081cdf8f77b053,-5.440819485752303e+27
1,0x08e622acdf6b27fe26f24e33815bb1a0789158f2d326104f0e2b529e2f33e02f,0x76ec733f445358232ea24aaf03d4536057439bfc,-0.01492067968658943,-46.31826667962838,Ethereum,Ethereum,-0.014925198841364049,Jim,0xd807f7e2818db8eda0d28b5be74866338eaedb86,-3.2972273425467763e+24
2,0x1a5eafe643fb4e41e4666f045341584ea22bb73d585775ec4e4a094be22f89e6,0x30049fd3dde7a46a6441a0d41dcb1cf5aaa93e77,-0.02468843699340676,-76.6403161641227,Ethereum,Ethereum,-0.024695914592970603,enqAI,0x710287d1d39dcf62094a83ebb3e736e79400068a,
3,0x1bcc89149f51daa2d79355a340d576af22555be34567e66a48b926a27ba54877,0xc4ba8f21c0dd755cfeff899c4f791c634ca5c6db,-0.012541988501717859,-38.93409551828453,ClosedAI,0x50b0696468f42cab1ddc76413a1312aff3cabdf6,-1.4467689850342348e+21,Ethereum,Ethereum,-0.012545787201804671
4,0x1ee8d8e23e4a026ce8afbf2dc79c196c6b1d43d5e9f8ebb80b968a367ed5e581,0x36a2ffb33c1b427c46c3d30adac3ca4e8ed36179,-0.020680512765998464,-64.1985167892797,0xb0699d63aef20df3f1cffa9ca2bb8670416271d2,0xb0699d63aef20df3f1cffa9ca2bb8670416271d2,-4.175897505354023e+19,Ethereum,Ethereum,-0.02068677645102965
5,0x36453126f7b08f65178da484754a9195f7f044b032bcbdcd243a33a38cf7c813,0xc20eefbda09dded708b0575cc27b2221ce133795,-0.037301534288655576,-115.79515471363747,Ethereum,Ethereum,-0.03731283212563901,Hemule,0xeaa63125dd63f10874f99cdbbb18410e7fc79dd3,-1.8768944793076462e+21
6,0x3fbadfd097e3edf52396ca21392bbd34a2ad3aaba5297bb09f05df9af140ee20,0x577ff90b598941db6c75413a0f980ca5cde42a76,-0.021886801755151897,-67.94319975720953,ClosedAI,0x50b0696468f42cab1ddc76413a1312aff3cabdf6,-2.510800416230284e+21,Ethereum,Ethereum,-0.02189343079931949
7,0x4d8761e86be1ac935c925e4ac28513872a38583d4bf60223a0716a45ec617999,0xc9673a6be5d35f15afe8b380db20a4ef5d451d6d,-0.039813070947916994,-123.59171808761633,Ethereum,Ethereum,-0.03982512947564132,dogwifhat Eth,0x8aec4bbdcfb451aa289bfbd3c2f4e34a44ada1be,
8,0x4f9b4cddc272c3803df798041fff63ae7e439982810f7d1d40f288a4218f45b6,0x1518c211f611114decd1842894e08b803afcd27b,-0.09323396480205459,-289.4262014874578,Ethereum,Ethereum,-0.09326220337603663,Monai,0x8c282c35b5e1088bb208991c151182a782637699,
9,0x623bae0e273896d748142353d5cec32276bf7f49b0ecded6d01eec70d57b6642,0x1518c211f611114decd1842894e08b803afcd27b,-0.054057923267341705,-167.81201383835588,Ethereum,Ethereum,-0.054074296256184776,Monai,0x8c282c35b5e1088bb208991c151182a782637699,-3.108276273051924e+20
