block_number, user_tx, fees
19412019,0x1ee8d8e23e4a026ce8afbf2dc79c196c6b1d43d5e9f8ebb80b968a367ed5e581,18613219333282008
19412030,0x354e8386267ca643793de913739df3f9680895776f3a8f982b48f6c36be0c9ad,46947531382579069
19412041,0xee8fd2c76181afa14ca0da158e0a01bba2d3df8e62c5da122ac1d77912aab66e,61825063809872640
19412043,0x5f3954cc3cb4fbb88803a910d852aab6566af2866acfa600887399e2ae5555ff,128344417502120006
19412043,0xbd9c86df3327871d630a0921c65cb7bec9b0c199d80cdddcdb35c11b4f6bade1,36408612437377108
19412045,0x77929a2b313bd1f5b15c9dbc61cc598d21e6f3594b308b15189a379f5264cb4f,107382840607997201
19412046,0x4f9b4cddc272c3803df798041fff63ae7e439982810f7d1d40f288a4218f45b6,55427928800062694
19412046,0x08e622acdf6b27fe26f24e33815bb1a0789158f2d326104f0e2b529e2f33e02f,55427928800062694
19412063,0x1bcc89149f51daa2d79355a340d576af22555be34567e66a48b926a27ba54877,8987322561238080 
19412063,0x3fbadfd097e3edf52396ca21392bbd34a2ad3aaba5297bb09f05df9af140ee20,8987322561238080 
19412066,0xbcd0572cc301ec70e7e4dd5cb4e135f7e41f14fc967a5e8ea11d7c85dc802a23,11692784968281414
19412068,0xc1a796c24a30a5c110b7cea4123085339445bb1953c014dd646e052f4fac510a,37173208167309222
19412070,0x4f8a786f571bc3942d0457a413cb20431e361a4724cb7b20aba5ab30b3956ed4,6501558813703991 
19412070,0x24f729ba8c42e5fb551ae88298c6cf930cc9a0f8fba6bc33091abe051c0a7939,6501558813703991 
19412072,0xb9de9f69f52607d2661ef19d7ddd565d86d56ee8a8efe54c7ef06c620b72485a,179629259592627571
19412073,0xe3871507ad9fe26dd3b88e5b30185726417a222d2105a22354e052716e8877d1,29952976515686609
19412086,0x623bae0e273896d748142353d5cec32276bf7f49b0ecded6d01eec70d57b6642,13581558788493047
19412092,0xaca942abdc6cc4dfc3b5a59bf946115e815391475311a28870b2b7448fc0e1d9,26631761439459192
19412096,0xe081cfe651591ab6525ad185ca38ad9bfe3f6154e9811cb820e3b46af1e5bc9a,12750714138713379
19412100,0xcb677604ed47003bbb69511bed33c74a3f2a262e3e508337682b3536d6d64995,174048932963390920
19412102,0xaad7774f70fccad4b551f32964baa56254dc0796f8ea4192040b836ab97b06d4,381689367074998902
19412103,0xf575687f780edd7918193dcfe97f5f2d871ea275b9c77d6444e09ab0c0cf8f7b,905365993145614  
19412104,0x4d8761e86be1ac935c925e4ac28513872a38583d4bf60223a0716a45ec617999,22191230059414508
19412105,0x36453126f7b08f65178da484754a9195f7f044b032bcbdcd243a33a38cf7c813,15173527074991304
19412109,0xe4e2b44cc843b210fc1cce995266af830133c11ee283b6629b3abf6f0083ebfb,102791070031071100
19412115,0x651368a4ca3b651901af0d237d1d61001f6a12819c36d3125cd48a961d4f8543,18171046599374985 
19412120,0x6326451b6cee44291395fd3efa1f7144676392ade4f0ba8a1d8c0fd108621731,27030495777153488 
19412120,0x413c5f5201ab9239aaa96bf77c80bf51b9c2bf928535af5d034cbf5441f79591,27030495777153488 
19412123,0xa231f74955550b91c045955dcba05ce6793104ffdc325fd82a016389a8b00352,5166744534244632  
19412131,0xa7df031a9365ac92037e9a28b2a89fc683bdd724f65cafc5625e9e92fbab10a0,5106549137886140  
19412135,0xe5be76c827fec38b17f44a4adef3a96553c5c88d017ee04d58500b9649adccbe,2060914818376359  
19412135,0x8f762515bc5eb815f6683323c4226373eb53922f00070efb569f653a1e85540e,2060914818376359  
19412141,0xf8196d4b1341fb7700603dd0abfebc5ee859b279eb9c2e7a172d9b99c2a71f7f,72097488918493212 
19412142,0x012778bb6330737bed53ca488e582500498d81e1db22060b8b8b94ed82d6ae99,106181304527739632
19412153,0x80756a409316570be65efd0861a99cc6c26adecbc1f2c2e0b65c6500268ce2cc,245050175463994296
19412153,0xd99a3931116a10e2cb106929bf9abeaf45e1addd6b505e915dab430ee7dfa962,245050175463994296
19412156,0x1a5eafe643fb4e41e4666f045341584ea22bb73d585775ec4e4a094be22f89e6,269976241604209565
