,tx_hash,index,token_contract_address,type,raw_amount,dollar_value,token_name,token_dollar_value,raw_amount_diff,dollar_diff
3,0x02a5aed1bec0904ffe147e0e13cb029d4e4790e42dff0bcf5084b56313fd0654,1,0x5fc111f3fa4c6b32eaf65659cfebdeed57234069,Transfer,1.9421147095849414e+21,1177.8867250678331,0xGasless,0.6064969897270203,-1.4776081098219533e+20,-89.61648706032474
4,0x02a5aed1bec0904ffe147e0e13cb029d4e4790e42dff0bcf5084b56313fd0654,1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Transfer,3.062478532544236,11308.44721895833,WETH,3692.580078125,-0.255431396285172,-943.2008852502768
5,0x02a5aed1bec0904ffe147e0e13cb029d4e4790e42dff0bcf5084b56313fd0654,1,0xeaa63125dd63f10874f99cdbbb18410e7fc79dd3,Transfer,2.94637414594e+23,5927.459524517384,Hemule,0.020117809996008873,0.0,0.0
0,0x02a5aed1bec0904ffe147e0e13cb029d4e4790e42dff0bcf5084b56313fd0654,0,0x5fc111f3fa4c6b32eaf65659cfebdeed57234069,Transfer,2.0898755205671367e+21,1267.5032121281579,0xGasless,0.6064969897270203,,
1,0x02a5aed1bec0904ffe147e0e13cb029d4e4790e42dff0bcf5084b56313fd0654,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Transfer,3.317909928829408,12251.648104208607,WETH,3692.580078125,,
2,0x02a5aed1bec0904ffe147e0e13cb029d4e4790e42dff0bcf5084b56313fd0654,0,0xeaa63125dd63f10874f99cdbbb18410e7fc79dd3,Transfer,2.94637414594e+23,5927.459524517384,Hemule,0.020117809996008873,,
9,0x03dd2c8d113eb60e10d571b99a419e4fb7e4f437e803bfb071bce0465e9eb664,3,0x8c282c35b5e1088bb208991c151182a782637699,Transfer,6.356144250175244e+21,3537.276977910814,Monai,0.5565130114555359,-6.152741639046258e+20,-342.4080778253506
10,0x03dd2c8d113eb60e10d571b99a419e4fb7e4f437e803bfb071bce0465e9eb664,3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Mint,2.0,7385.16015625,WETH,3692.580078125,0.0,0.0
11,0x03dd2c8d113eb60e10d571b99a419e4fb7e4f437e803bfb071bce0465e9eb664,3,None,Transfer,2e+18,7390.0400390625,Ethereum,3695.02001953125,0.0,0.0
6,0x03dd2c8d113eb60e10d571b99a419e4fb7e4f437e803bfb071bce0465e9eb664,0,0x8c282c35b5e1088bb208991c151182a782637699,Transfer,6.971418414079869e+21,3879.6850557361645,Monai,0.5565130114555359,,
7,0x03dd2c8d113eb60e10d571b99a419e4fb7e4f437e803bfb071bce0465e9eb664,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Mint,2.0,7385.16015625,WETH,3692.580078125,,
8,0x03dd2c8d113eb60e10d571b99a419e4fb7e4f437e803bfb071bce0465e9eb664,0,None,Transfer,2e+18,7390.0400390625,Ethereum,3695.02001953125,,
15,0x04b1c431a72f7641fe176d132b2938dc24ca2ea2d52252df0cffb22ed4013a99,1,0x857ffc55b1aa61a7ff847c82072790cae73cd883,Transfer,1.6056766086587544e+19,2.2997034759131647e-16,None,None,-8.028344162710528e+17,-184.62810976812568
16,0x04b1c431a72f7641fe176d132b2938dc24ca2ea2d52252df0cffb22ed4013a99,1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Mint,1.0,3692.580078125,WETH,3692.580078125,0.0,0.0
17,0x04b1c431a72f7641fe176d132b2938dc24ca2ea2d52252df0cffb22ed4013a99,1,None,Transfer,1e+18,3695.02001953125,Ethereum,3695.02001953125,0.0,0.0
12,0x04b1c431a72f7641fe176d132b2938dc24ca2ea2d52252df0cffb22ed4013a99,0,0x857ffc55b1aa61a7ff847c82072790cae73cd883,Transfer,1.6859600502858596e+19,2.1901942916731105e-16,None,None,,
13,0x04b1c431a72f7641fe176d132b2938dc24ca2ea2d52252df0cffb22ed4013a99,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Mint,1.0,3692.580078125,WETH,3692.580078125,,
14,0x04b1c431a72f7641fe176d132b2938dc24ca2ea2d52252df0cffb22ed4013a99,0,None,Transfer,1e+18,3695.02001953125,Ethereum,3695.02001953125,,
21,0x054d9a64147c776a19391680e82077d31de60d84ef075f469ff911517556098d,1,0x328a268b191ef593b72498a9e8a481c086eb21be,Transfer,6.494610299798727e+22,18340.51896850881,MetaZero,0.28239598870277405,-5.195620151308551e+21,-1467.2222895528357
22,0x054d9a64147c776a19391680e82077d31de60d84ef075f469ff911517556098d,1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Mint,3.5,12924.0302734375,WETH,3692.580078125,0.0,0.0
23,0x054d9a64147c776a19391680e82077d31de60d84ef075f469ff911517556098d,1,None,Transfer,3.5e+18,12932.570068359375,Ethereum,3695.02001953125,0.0,0.0
18,0x054d9a64147c776a19391680e82077d31de60d84ef075f469ff911517556098d,0,0x328a268b191ef593b72498a9e8a481c086eb21be,Transfer,7.014172314929582e+22,19807.741258061647,MetaZero,0.28239598870277405,,
19,0x054d9a64147c776a19391680e82077d31de60d84ef075f469ff911517556098d,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Mint,3.5,12924.0302734375,WETH,3692.580078125,,
20,0x054d9a64147c776a19391680e82077d31de60d84ef075f469ff911517556098d,0,None,Transfer,3.5e+18,12932.570068359375,Ethereum,3695.02001953125,,
27,0x067ecb28afdb4ebe732845b9321bd2c815bdda53d3ab137a25c8810c4443dfbf,2,0x6123b0049f904d730db3c36a31167d9d4121fa6b,Transfer,7.233929662717932e+22,122976.80771561131,Ribbon Finance,1.7000000476837158,3.9498581419287904e+20,671.4759029622946
28,0x067ecb28afdb4ebe732845b9321bd2c815bdda53d3ab137a25c8810c4443dfbf,2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,Transfer,100037723666.0,99998.50690270917,USDC,0.9996079802513123,0.0,0.0
29,0x067ecb28afdb4ebe732845b9321bd2c815bdda53d3ab137a25c8810c4443dfbf,2,0xdac17f958d2ee523a2206206994597c13d831ec7,Transfer,100000000000.0,100000.0,Tether,1,0.0,0.0
24,0x067ecb28afdb4ebe732845b9321bd2c815bdda53d3ab137a25c8810c4443dfbf,0,0x6123b0049f904d730db3c36a31167d9d4121fa6b,Transfer,7.194431081298644e+22,122305.33181264902,Ribbon Finance,1.7000000476837158,,
25,0x067ecb28afdb4ebe732845b9321bd2c815bdda53d3ab137a25c8810c4443dfbf,0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,Transfer,100037723666.0,99998.50690270917,USDC,0.9996079802513123,,
26,0x067ecb28afdb4ebe732845b9321bd2c815bdda53d3ab137a25c8810c4443dfbf,0,0xdac17f958d2ee523a2206206994597c13d831ec7,Transfer,100000000000.0,100000.0,Tether,1,,
33,0x0c31c90ef634e3396fde9640ecc470c502aef98501d287c6a1ddfac982d41113,5,0x3b73e1ae7028627eff071971ed54d789b8f0f3f1,Transfer,7.00561951648169e+31,2.915855691881393e-27,None,None,-7.715558067219355e+31,-224974.53906342955
